DB_ID,DISP_ID,EQ_TYPE,ICON_NAME,TYPE,NAME,SOURCE,ITEM_QUALITY,ITEM_LEVEL,BIS,FIERY_CORE,LAVA_CORE,CLASS_MASK,SET,MIN_DAMAGE,MAX_DAMAGE,SPEED,ARMOR,BLOCK_VALUE,ROLE,STAMINA,STRENGTH,AGILITY,INTELLIGENCE,SPIRIT,MP5,ATTACK_POWER,R_ATTACK_POWER,SPELL_DAMAGE,SPELL_HEAL,SPELL_FROST,SPELL_SHADOW,SPELL_FIRE,SPELL_NATURE,HIT_PCT,CRIT_PCT,SPELL_HIT,SPELL_CRIT,PARRY_PCT,DODGE_PCT,BLOCK_PCT,DEFENSE,RESIST_FIRE,RESIST_SHADOW,RESIST_NATURE,RESIST_FROST,RESIST_ARCANE,HEAL_PER_5_SEC,SKILL_DAGGER,SKILL_SWORD,THORNS,COMMENTS,TOOLTIP
943,20256,17,inv_staff_29,Staff,Warden Staff,Crafted,4,48,1,3,3,1,0,89,134,2.4,260,0,PHYS,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q4"">Warden Staff</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->48</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Two-Hand</td><th><!--scstart2:10--><span class=""q1"">Staff</span><!--scend--></th></tr></table><!--rf--><table width=""100%""><tr>
    <td><span><!--dmg-->89 - 134 Damage</span></td>
    <th>Speed <!--spd-->2.40</th>
</tr></table><!--dps-->(46.46 damage per second)<br><span><!--amr-->260 Armor</span><br><span><!--stat7-->+11 Stamina</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 120 / 120</td></tr></table><table><tr><td>Requires Level <!--rlvl-->43<br><!--rr--><!--useText:0:1--><span id=""useText1"" class=""q2"">Equip: <!--useEffect:0:1--><a href=""/classic/spell=13390/increased-defense"" class=""q2"">Increased Defense +10.</a><!--useEffect:1--></span><!--useText:1--><!--itemEffects:1--><br><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneygold"">4</span> <span class=""moneysilver"">28</span> <span class=""moneycopper"">63</span></div></td></tr></table>"
2099,28636,26,inv_weapon_rifle_09,Gun,Dwarven Hand Cannon,Crafted,4,58,1,2,1,32,0,66,124,2.9,0,0,PHYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q4"">Dwarven Hand Cannon</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->58</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Ranged</td><th><!--scstart2:3--><span class=""q1"">Gun</span><!--scend--></th></tr></table><!--rf--><table width=""100%""><tr>
    <td><span><!--dmg-->66 - 124 Damage</span></td>
    <th>Speed <!--spd-->2.90</th>
</tr></table><!--dps-->(32.76 damage per second)<!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 90 / 90</td></tr></table><table><tr><td>Requires Level <!--rlvl-->53<br><!--rr--><!--useText:0:1--><span id=""useText1"" class=""q2"">Equip: <!--useEffect:0:1--><a href=""/classic/spell=29625/flaming-cannonball"" class=""q2"">Chance to strike your ranged target with a Flaming Cannonball for 33 to 49 Fire damage.</a><!--useEffect:1--></span><!--useText:1--><!--itemEffects:1--><br><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneygold"">4</span> <span class=""moneysilver"">50</span> <span class=""moneycopper"">40</span></div></td></tr></table>"
2246,0,11,inv_jewelry_ring_05,0,Mymidon’s Signet,Crafted,4,58,1,1,2,197,0,0,0,0,0,0,PHYS,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q4"">Myrmidon's Signet</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->58</span><!--bo--><br>Binds when equipped<br>Unique<table width=""100%""><tr><td>Finger</td><th><!--scstart4:-2--><span class=""q1""></span><!--scend--></th></tr></table><!--rf--><span><!--stat4-->+10 Strength</span><br><span><!--stat3-->+7 Agility</span><br><span><!--stat7-->+17 Stamina</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--></td></tr></table><table><tr><td>Requires Level <!--rlvl-->53<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneygold"">3</span></div></td></tr></table>"
7551,0,2,inv_jewelry_necklace_07,0,Entwined Opaline Talisman,Starter,2,47,0,0,0,97,0,0,0,0,0,0,PHYS,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Entwined Opaline Talisman</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->47</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Neck</td><th><!--scstart4:-3--><span class=""q1""></span><!--scend--></th></tr></table><!--rf--><span><!--stat3-->+3 Agility</span><br><span><!--stat7-->+10 Stamina</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--></td></tr></table><table><tr><td>Requires Level <!--rlvl-->42<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">71</span> <span class=""moneycopper"">45</span></div></td></tr></table>"
7553,0,11,inv_jewelry_ring_11,0,Band of the Unicorn,Starter,2,48,0,0,0,31,0,0,0,0,0,0,MAGI,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Band of the Unicorn</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->48</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Finger</td><th><!--scstart4:-2--><span class=""q1""></span><!--scend--></th></tr></table><!--rf--><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--></td></tr></table><table><tr><td>Requires Level <!--rlvl-->43<br><!--rr--><!--useText:0:1--><span id=""useText1"" class=""q2"">Equip: <!--useEffect:0:1--><a href=""/classic/spell=9342/increase-spell-dam-13"" class=""q2"">Increases damage and healing done by magical spells and effects by up to 13.</a><!--useEffect:1--></span><!--useText:1--><!--itemEffects:1--><br><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">25</span> <span class=""moneycopper"">42</span></div></td></tr></table>"
7919,3983,10,inv_gauntlets_27,Plate,Heavy Mithril Gauntlets,Starter,2,41,0,0,0,128,0,0,0,0,268,0,TANK,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Heavy Mithril Gauntlet</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->41</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Hands</td><th><!--scstart4:4--><span class=""q1"">Plate</span><!--scend--></th></tr></table><!--rf--><span class=""q2 tip"" data-simple-tooltip=""&lt;span class=&quot;q&quot;&gt;Has 80 bonus armor.&lt;/span&gt;""><!--amr-->268 Armor</span><br><span><!--stat7-->+8 Stamina</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 40 / 40</td></tr></table><table><tr><td>Requires Level <!--rlvl-->40<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">24</span> <span class=""moneycopper"">76</span></div></td></tr></table>"
7927,16105,10,inv_gauntlets_31,Plate,Ornate Mithril Gloves,Starter,2,44,0,0,0,128,0,0,0,0,268,0,PHYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Ornate Mithril Gloves</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->44</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Hands</td><th><!--scstart4:4--><span class=""q1"">Plate</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->268 Armor</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 40 / 40</td></tr></table><table><tr><td>Requires Level <!--rlvl-->40<br><!--rr--><!--useText:0:1--><span id=""useText1"" class=""q2"">Equip: <!--useEffect:0:1--><a href=""/classic/spell=7597/increased-critical-1"" class=""q2"">Improves your chance to get a critical strike by 1%.</a><!--useEffect:1--></span><!--useText:1--><!--itemEffects:1--><br><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">29</span> <span class=""moneycopper"">87</span></div></td></tr></table>"
7947,16130,13,inv_weapon_shortblade_14,Dagger,Ebon Shiv,Starter,2,51,0,0,0,96,0,32,59,1.5,0,0,PHYS,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Ebon Shiv</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->51</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>One-Hand</td><th><!--scstart2:15--><span class=""q1"">Dagger</span><!--scend--></th></tr></table><!--rf--><table width=""100%""><tr>
    <td><span><!--dmg-->32 - 59 Damage</span></td>
    <th>Speed <!--spd-->1.50</th>
</tr></table><!--dps-->(30.33 damage per second)<br><span><!--stat3-->+9 Agility</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 55 / 55</td></tr></table><table><tr><td>Requires Level <!--rlvl-->46<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneygold"">2</span> <span class=""moneysilver"">48</span> <span class=""moneycopper"">92</span></div></td></tr></table>"
8192,28744,3,inv_shoulder_07,Leather,Nightscape Shoulders,Starter,2,42,0,0,0,65,0,0,0,0,86,0,PHYS,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Nightscape Shoulders</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->42</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Shoulder</td><th><!--scstart4:2--><span class=""q1"">Leather</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->86 Armor</span><br><span><!--stat3-->+11 Agility</span><br><span><!--stat7-->+5 Stamina</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 50 / 50</td></tr></table><table><tr><td>Requires Level <!--rlvl-->37<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">47</span> <span class=""moneycopper"">82</span></div></td></tr></table>"
8195,23019,16,inv_misc_cape_03,0,Nightscape Cloak,Starter,2,46,0,0,0,225,0,0,0,0,30,0,PHYS,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Nightscape Cloak</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->46</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Back</td></tr></table><!--rf--><span><!--amr-->30 Armor</span><br><span><!--stat3-->+10 Agility</span><br><span><!--stat7-->+3 Stamina</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--></td></tr></table><table><tr><td>Requires Level <!--rlvl-->41<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">52</span> <span class=""moneycopper"">63</span></div></td></tr></table>"
