CLASSID,RACEID,SOURCE,SPELLID,SPELLNAME,RANK,ICON_NAME,TOOLTIP,SPELLTYPE,WeaponDmg,School,Dispel,Mechanic,Targets,TargetCreatureType,CastingTimeIndex,RecoveryTime,ProcCharges,MaxLevel,BaseLevel,DurationIndex,ManaCost,ManaPerSecond,PowerType,RangeIndex,Speed,EffectDieSides1,EffectRealPointsPerLevel1,EffectBasePoints1,EffectMechanic1,EffectDieSides2,EffectRealPointsPerLevel2,EffectBasePoints2,EffectMechanic2,ManaCostPercentage,StartRecoveryTime,EffectBonusCoefficient1,EffectAmplitude1,EffectApplyAuraName1,EffectBonusCoefficient2,EffectAmplitude2,EffectApplyAuraName2,EffectPointsPerComboPoint1
-1,7,Racial,20591,Expansive Mind,,inv_enchant_essenceeternallarge,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=20591/expansive-mind""><b class=""whtt-name"">Expansive Mind</b></a></td></tr></table><table><tr><td><div class=""q"">Intelligence increased by 5%.</div></td></tr></table>",-1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,137,0,0,0,0
-1,3,Racial,20596,Frost Resistance,,spell_frost_wizardmark,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=20596/frost-resistance""><b class=""whtt-name"">Frost Resistance</b></a></td></tr></table><table><tr><td><div class=""q"">Frost resistance increased by 10.</div></td></tr></table>",-1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,1,0,22,0,0,0,0
-1,3,Racial,20595,Gun Specialization,,inv_musket_03,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=20595/gun-specialization""><b class=""whtt-name"">Gun Specialization</b></a></td></tr></table><table><tr><td><div class=""q"">Guns skill increased by 5.</div></td></tr></table>",-1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,98,0,0,0,0
-1,1,Racial,20864,Mace Specialization,,inv_hammer_05,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=20864/mace-specialization""><b class=""whtt-name"">Mace Specialization</b></a></td></tr></table><table><tr><td><div class=""q"">Skill with Maces and Two-Handed Maces increased by 5.</div></td></tr></table>",-1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,1,0,4,0,1,0,4,0,0,0,1,0,98,1,0,98,0
-1,4,Racial,20583,Nature Resistance,,spell_nature_spiritarmor,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=20583/nature-resistance""><b class=""whtt-name"">Nature Resistance</b></a></td></tr></table><table><tr><td><div class=""q"">Nature Resistance increased by 10.</div></td></tr></table>",-1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,1,0,22,0,0,0,0
-1,4,Racial,20582,Quickness,,ability_racial_shadowmeld,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=20582/quickness""><b class=""whtt-name"">Quickness</b></a></td></tr></table><table><tr><td><div class=""q"">Dodge chance increased by 1%.</div></td></tr></table>",-1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0
-1,1,Racial,20597,Sword Specialization,,ability_meleedamage,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=20597/sword-specialization""><b class=""whtt-name"">Sword Specialization</b></a></td></tr></table><table><tr><td><div class=""q"">Skill with Swords and Two-Handed Swords increased by 5.</div></td></tr></table>",-1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,1,0,4,0,1,0,4,0,0,0,1,0,98,1,0,98,0
-1,1,Racial,20598,The Human Spirit,,inv_enchant_shardbrilliantsmall,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=20598/the-human-spirit""><b class=""whtt-name"">The Human Spirit</b></a></td></tr></table><table><tr><td><div class=""q"">Spirit increased by 5%.</div></td></tr></table>",-1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,137,0,0,0,0
-1,7,Racial,20592,Arcane Resistance,,spell_nature_wispsplode,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=20592/arcane-resistance""><b class=""whtt-name"">Arcane Resistance</b></a></td></tr></table><table><tr><td><div class=""q\"">Arcane Resistance increased by 10.</div></td></tr></table>",-1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,1,0,22,0,0,0,0
0,0,Ability,768,Cat Form,,ability_druid_catform,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=768/cat-form""><b class=""whtt-name"">Cat Form</b></a><br />55% of base mana<br />Instant<div class=""wowhead-tooltip-requirements"">Requires Druid</div><span class=""wowhead-tooltip-requirements"">Requires level 20</span><br /></td></tr></table><table><tr><td><div class=""q"">Shapeshift into cat form, increasing melee attack power by 40 plus Agility. &nbsp;Also protects the caster from Polymorph effects and allows the use of various cat abilities.<br /><br />The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.</div></td></tr></table>",0,0,0,0,0,0,0,1,0,0,0,20,21,0,0,0,1,0,1,0,-1,0,1,0,-1,0,55,1500,0,0,36,0,0,77,0
0,0,Ability,9634,Dire Bear Form,,ability_racial_bearform,"<table><tr><td><table width=""100%""><tr><td><a class=""whtt-name"" href=""/classic/spell=9634/dire-bear-form""><b class=""whtt-name"">Dire Bear Form</b></a></td><th><b class=""q0""><br>Level <!--lvl-->60</b></th></tr></table>55% of base mana<br />Instant<div class=""wowhead-tooltip-requirements"">Requires Druid</div><span class=""wowhead-tooltip-requirements"">Requires level 40</span><br /></td></tr></table><table><tr><td><div class=""q"">Shapeshift into a dire bear, increasing melee attack power by <!--ppl9634:40:70:120:300:1-->180, armor contribution from items by 360%, and health by <!--ppl9634:40:70:600:3200:1-->1240. &nbsp;Also protects the caster from Polymorph effects and allows the use of various bear abilities.<br /><br />The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.</div></td></tr></table>",0,0,0,0,0,0,0,1,0,0,70,40,21,0,0,0,1,0,1,0,-1,0,1,0,-1,0,55,1500,0,0,36,0,0,77,0
0,0,Talent,17007,Leader of the Pack,,spell_nature_unyeildingstamina,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17007/leader-of-the-pack""><b class=""whtt-name"">Leader of the Pack</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">While in Cat, Bear or Dire Bear Form, the Leader of the Pack increases ranged and melee critical chance of all party members within 45 yards by 3%.</div></td></tr></table>",0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,1,0,4,0,0,0,0
0,0,Talent,24858,Moonkin Form,,spell_nature_forceofnature,"<table><tr><td><table width=""100%""><tr><td><a class=""whtt-name"" href=""/classic/spell=24858/moonkin-form""><b class=""whtt-name"">Moonkin Form</b></a></td><th><b class=""q0""><br>Level <!--lvl-->60</b></th></tr></table><div class=""q0"">Talent</div>35% of base mana<br />Instant<div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Transforms the Druid into Moonkin Form. &nbsp;While in this form the armor contribution from items is increased by 360% and all party members within 30 yards have their spell critical chance increased by 3%. &nbsp;The Moonkin can only cast Balance spells while shapeshifted. <br /><br />The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.</div></td></tr></table>",0,0,0,0,0,0,0,1,0,0,0,40,21,0,0,0,1,0,1,0,-1,0,1,0,-1,0,35,1500,0,0,36,0,0,77,0
