CLASSID,SPELLID,SPELLNAME,RANK,ICON_NAME,TOOLTIP,SPEC_0,SPEC_1,SPEC_2
0,16818,Improved Wrath,5,spell_nature_abolishmagic,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16818/improved-wrath""><b class=""whtt-name"">Improved Wrath</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Reduces the cast time of your Wrath spell by 0.5 sec.</div></td></tr></table>",1,0,0
0,16820,Nature’s Reach,2,spell_nature_naturetouchgrow,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16820/natures-reach""><b class=""whtt-name"">Nature's Reach</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases the range of your Wrath, Entangling Roots, Faerie Fire, Moonfire, Starfire, and Hurricane spells by 20%.</div></td></tr></table>",1,0,1
0,16834,Natural Shapeshifter,2,spell_nature_wispsplode,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16834/natural-shapeshifter""><b class=""whtt-name"">Natural Shapeshifter</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Reduces the mana cost of all shapeshifting by 20%.</div></td></tr></table>",0,0,1
0,16835,Natural Shapeshifter,3,spell_nature_wispsplode,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16835/natural-shapeshifter""><b class=""whtt-name"">Natural Shapeshifter</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Reduces the mana cost of all shapeshifting by 30%.</div></td></tr></table>",1,1,0
0,16839,Improved Thorns,2,spell_nature_thorns,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16839/improved-thorns""><b class=""whtt-name"">Improved Thorns</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases damage caused by your Thorns spell by 50%.</div></td></tr></table>",1,0,0
0,16847,Moonglow,3,spell_nature_sentinal,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16847/moonglow""><b class=""whtt-name"">Moonglow</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Reduces the Mana cost of your Moonfire, Starfire, Wrath, Healing Touch, Regrowth and Rejuvenation spells by 9%.</div></td></tr></table>",1,0,0
0,16864,Omen of Clarity,1,spell_nature_crystalball,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16864/omen-of-clarity""><b class=""whtt-name"">Omen of Clarity</b></a><div class=""q0"">Talent</div>120 Mana<br />Instant<div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Imbues the Druid with natural energy. &nbsp;Each of the Druid's melee attacks has a chance of causing the caster to enter a Clearcasting state. &nbsp;The Clearcasting state reduces the Mana, Rage or Energy cost of your next damage or healing spell or offensive ability by 100%. &nbsp;Lasts 10 min.</div> (10s cooldown)</td></tr></table>",0,1,0
0,16880,Nature’s Grace,1,spell_nature_naturesblessing,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16880/natures-grace""><b class=""whtt-name"">Nature's Grace</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">All spell criticals grace you with a blessing of nature, reducing the casting time of your next spell by 0.5 sec.</div></td></tr></table>",1,0,0
0,16906,Natural Weapons,5,inv_staff_01,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16906/natural-weapons""><b class=""whtt-name"">Natural Weapons</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases the damage you deal with physical attacks in all forms by 10%.</div></td></tr></table>",0,1,0
0,16920,Improved Entangling Roots,3,spell_nature_stranglevines,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16920/improved-entangling-roots""><b class=""whtt-name"">Improved Entangling Roots</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Gives you a 100% chance to avoid interruption caused by damage while casting Entangling Roots.</div></td></tr></table>",1,0,1
